"","basicran molar","basicran orbital","basicran rostrum","basicran vault","molar orbital","molar rostrum","molar vault","orbital rostrum","orbital vault","rostrum vault"
"basicran molar",0,0.56,0.416,0.083,0.759,0.891,0.242,0.487,0.083,0.145
"basicran orbital",0.58,0,0.835,0.206,0.357,0.457,0.484,0.913,0.206,0.366
"basicran rostrum",0.81,0.21,0,0.261,0.238,0.321,0.584,0.924,0.261,0.464
"basicran vault",1.73,1.26,1.12,0,0.043,0.06,0.618,0.238,0.999,0.633
"molar orbital",0.31,0.92,1.18,2.02,0,0.86,0.149,0.299,0.043,0.07
"molar rostrum",0.14,0.74,0.99,1.88,0.18,0,0.192,0.389,0.06,0.102
"molar vault",1.17,0.7,0.55,0.5,1.44,1.31,0,0.54,0.617,0.94
"orbital rostrum",0.69,0.11,0.1,1.18,1.04,0.86,0.61,0,0.238,0.423
"orbital vault",1.73,1.26,1.12,0,2.02,1.88,0.5,1.18,0,0.632
"rostrum vault",1.46,0.9,0.73,0.48,1.81,1.64,0.07,0.8,0.48,0
