,molar basicran,orbital basicran,rostrum basicran,vault basicran,basicran molar,orbital molar,rostrum molar,vault molar,basicran orbital,molar orbital,rostrum orbital,vault orbital,basicran rostrum,molar rostrum,orbital rostrum,vault rostrum,basicran vault,molar vault,orbital vault,rostrum vault
molar basicran,1,0.833,0.83,1.89,0.161,0.411,0.269,1.21,0.724,0.365,0.544,1.927,0.919,0.321,0.493,1.707,1.828,0.941,1.955,1.393
orbital basicran,0.405,1,0.1,1.204,0.662,0.374,0.553,0.485,0.148,0.403,0.382,1.255,0.05,1.207,0.421,0.927,1.158,0.157,1.275,0.487
rostrum basicran,0.406,0.921,1,1.354,0.636,0.315,0.513,0.605,0.06,0.348,0.321,1.403,0.159,1.279,0.366,1.089,1.301,0.264,1.426,0.648
vault basicran,0.059,0.228,0.176,1,1.746,1.483,1.656,0.688,1.355,1.495,1.578,0.063,1.19,2.205,1.603,0.359,0.022,1.03,0.071,0.854
basicran molar,0.872,0.508,0.525,0.081,1,0.256,0.107,1.061,0.545,0.214,0.354,1.786,0.739,0.488,0.306,1.541,1.688,0.781,1.812,1.198
orbital molar,0.681,0.708,0.753,0.138,0.798,1,0.153,0.799,0.248,0.035,0.049,1.527,0.435,0.731,0.008,1.243,1.433,0.506,1.55,0.861
rostrum molar,0.788,0.58,0.608,0.098,0.915,0.878,1,0.967,0.431,0.114,0.233,1.698,0.625,0.603,0.187,1.438,1.6,0.678,1.723,1.078
vault molar,0.226,0.627,0.545,0.491,0.288,0.424,0.334,1,0.629,0.82,0.845,0.744,0.455,1.529,0.876,0.374,0.655,0.325,0.758,0.085
basicran orbital,0.469,0.883,0.952,0.175,0.586,0.804,0.667,0.53,1,0.281,0.238,1.403,0.206,1.12,0.282,1.094,1.304,0.302,1.426,0.668
molar orbital,0.715,0.687,0.728,0.135,0.831,0.972,0.909,0.412,0.779,1,0.088,1.539,0.463,0.673,0.047,1.258,1.446,0.532,1.561,0.882
rostrum orbital,0.587,0.703,0.748,0.115,0.723,0.961,0.816,0.398,0.812,0.93,1,1.622,0.455,0.969,0.05,1.347,1.519,0.527,1.648,0.955
vault orbital,0.054,0.209,0.161,0.95,0.074,0.127,0.09,0.457,0.161,0.124,0.105,1,1.242,2.234,1.646,0.421,0.084,1.083,0.007,0.912
basicran rostrum,0.358,0.96,0.873,0.234,0.46,0.664,0.532,0.649,0.837,0.643,0.649,0.214,1,1.326,0.496,0.907,1.143,0.116,1.262,0.453
molar rostrum,0.748,0.227,0.201,0.027,0.626,0.465,0.547,0.126,0.263,0.501,0.332,0.025,0.185,1,0.905,2.081,2.132,1.287,2.269,1.853
orbital rostrum,0.622,0.673,0.714,0.109,0.759,0.994,0.852,0.381,0.778,0.962,0.96,0.1,0.62,0.365,1,1.377,1.544,0.563,1.673,0.992
vault rostrum,0.088,0.354,0.276,0.72,0.123,0.214,0.15,0.709,0.274,0.208,0.178,0.673,0.364,0.037,0.169,1,0.329,0.738,0.433,0.523
basicran vault,0.068,0.247,0.193,0.982,0.091,0.152,0.11,0.512,0.192,0.148,0.129,0.933,0.253,0.033,0.122,0.742,1,0.989,0.092,0.813
molar vault,0.347,0.875,0.792,0.303,0.435,0.613,0.498,0.745,0.762,0.595,0.598,0.279,0.908,0.198,0.574,0.46,0.323,1,1.1,0.292
orbital vault,0.051,0.202,0.154,0.943,0.07,0.121,0.085,0.449,0.154,0.118,0.099,0.994,0.207,0.023,0.094,0.665,0.927,0.271,1,0.93
rostrum vault,0.164,0.626,0.517,0.393,0.231,0.389,0.281,0.932,0.504,0.378,0.339,0.362,0.651,0.064,0.321,0.601,0.416,0.77,0.352,1
