"","basicran_res molar_res","basicran_res orbital_res","basicran_res rostrum_res","basicran_res vault_res","molar_res orbital_res","molar_res rostrum_res","molar_res vault_res","orbital_res rostrum_res","orbital_res vault_res","rostrum_res vault_res"
"basicran_res molar_res",0,0.428,0.806,0.78,0.264,0.689,0.586,0.695,0.951,0.45
"basicran_res orbital_res",0.792,0,0.222,0.481,0.028,0.599,0.109,0.147,0.348,0.053
"basicran_res rostrum_res",0.246,1.22,0,0.484,0.271,0.411,0.71,0.862,0.679,0.513
"basicran_res vault_res",0.279,0.704,0.699,0,0.054,0.855,0.243,0.331,0.757,0.103
"molar_res orbital_res",1.117,2.194,1.102,1.923,0,0.049,0.424,0.301,0.105,0.501
"molar_res rostrum_res",0.4,0.526,0.822,0.183,1.966,0,0.207,0.28,0.641,0.094
"molar_res vault_res",0.545,1.601,0.372,1.168,0.8,1.262,0,0.821,0.393,0.797
"orbital_res rostrum_res",0.393,1.452,0.173,0.972,1.034,1.081,0.226,0,0.515,0.595
"orbital_res vault_res",0.062,0.938,0.414,0.309,1.62,0.467,0.855,0.651,0,0.209
"rostrum_res vault_res",0.755,1.939,0.654,1.63,0.673,1.677,0.257,0.531,1.257,0
